total_income,salary_income,business_income,capital_gains,standard_deduction,hra_exemption,section_80c,section_80d,total_deductions,taxable_income,fiscal_year,true_tax
89087.23,89087.23,0.0,0.0,50000,35634.89,23399.18,21654.4,130688.48,0.0,2024,0.0
60950.74,41127.02,15538.44,4285.29,50000,16450.81,43684.37,0.0,110135.18,0.0,2023,0.0
48979.88,48979.88,0.0,0.0,50000,19591.95,0.0,21498.51,91090.46,0.0,2024,0.0
62300.35,37041.6,25258.75,0.0,50000,14816.64,18305.74,859.71,83982.09,0.0,2023,0.0
81754.75,81754.75,0.0,0.0,50000,32701.9,4696.99,0.0,87398.89,0.0,2023,0.0
25974.82,25974.82,0.0,0.0,50000,10389.93,78125.14,0.0,138515.07,0.0,2024,0.0
101453.16,101453.16,0.0,0.0,50000,40581.26,81404.41,20054.92,192040.6,0.0,2024,0.0
97669.15,97669.15,0.0,0.0,50000,39067.66,0.0,0.0,89067.66,8601.49,2022,0.0
36359.76,36359.76,0.0,0.0,50000,14543.91,14311.52,16721.03,95576.45,0.0,2023,0.0
238282.73,238282.73,0.0,0.0,50000,95313.09,106986.72,0.0,252299.81,0.0,2024,0.0
82350.17,78475.75,3874.41,0.0,50000,31390.3,134364.54,14081.89,229836.73,0.0,2023,0.0
75972.02,75972.02,0.0,0.0,50000,30388.81,0.0,0.0,80388.81,0.0,2024,0.0
89425.28,89425.28,0.0,0.0,50000,35770.11,133883.85,0.0,219653.96,0.0,2023,0.0
46069.2,46069.2,0.0,0.0,50000,18427.68,78.06,7619.53,76125.27,0.0,2023,0.0
25304.07,7157.09,12266.43,5880.54,50000,2862.84,77818.59,0.0,130681.43,0.0,2022,0.0
66978.28,59137.07,7841.21,0.0,50000,23654.83,0.0,24943.51,98598.34,0.0,2022,0.0
55975.42,55975.42,0.0,0.0,50000,22390.17,67167.47,0.0,139557.64,0.0,2024,0.0
75395.47,68523.19,6872.28,0.0,50000,27409.28,122464.78,0.0,199874.06,0.0,2022,0.0
31214.62,27107.64,4106.98,0.0,50000,10843.06,2488.17,0.0,63331.23,0.0,2022,0.0
22509.69,22509.69,0.0,0.0,50000,9003.88,0.0,8526.66,67530.53,0.0,2023,0.0
93423.43,93423.43,0.0,0.0,50000,37369.37,149438.05,0.0,236807.43,0.0,2024,0.0
67638.77,67638.77,0.0,0.0,50000,27055.51,0.0,0.0,77055.51,0.0,2024,0.0
78996.48,78996.48,0.0,0.0,50000,31598.59,87102.99,23503.34,192204.92,0.0,2024,0.0
12737.99,12737.99,0.0,0.0,50000,5095.19,0.0,8134.99,63230.19,0.0,2024,0.0
165166.88,165166.88,0.0,0.0,50000,66066.75,76322.11,0.0,192388.86,0.0,2023,0.0
18058.35,18058.35,0.0,0.0,50000,7223.34,119221.7,0.0,176445.04,0.0,2022,0.0
756449.91,527621.97,228827.94,0.0,50000,100000.0,149182.58,6989.01,306171.59,450278.32,2023,9998.3
54213.98,54213.98,0.0,0.0,50000,21685.59,0.0,9627.44,81313.04,0.0,2024,0.0
54777.61,54777.61,0.0,0.0,50000,21911.04,0.0,0.0,71911.04,0.0,2023,0.0
72910.49,72024.6,0.0,885.89,50000,28809.84,131605.96,0.0,210415.8,0.0,2024,0.0
154146.56,139112.97,15033.59,0.0,50000,55645.19,0.0,0.0,105645.19,48501.37,2022,0.0
