transaction_id,user_id,txn_date,txn_time,merchant_name,merchant_gstin,merchant_category,payment_mode,txn_amount,avg_monthly_amount,txn_location,state,is_business_account,gst_applicable,gst_rate,it_section,income_type,weekday,hour_of_day,previous_txn_gap_minutes,merchant_txn_frequency,monthly_total_amount,account_balance_after_txn,deviation_from_avg,anomaly_label
TXN202500001,U411,2025-06-29,12:17:11,Entertainment Store 109,10VTIBG2658M1ZZ,Entertainment,NetBanking,103748.07,55997.48,City72,Maharashtra,False,True,18.0,80D,Business,Sunday,12,46,16,290809.86,916910.25,47750.590000000004,0
TXN202500002,U383,2025-03-30,13:28:48,Electronics Store 450,85NQTUV6160B1ZO,Electronics,Cash,138293.74,82979.08,City50,Karnataka,True,True,18.0,80D,Business,Sunday,13,103,40,60284.76,400279.17,55314.65999999999,0
TXN202500003,U464,2025-05-31,16:18:39,Groceries Store 472,67EQNGG2203V1ZT,Groceries,UPI,46977.55,25949.51,City8,Delhi,False,True,18.0,80C,CapitalGain,Saturday,16,102,31,19150.49,325695.49,21028.040000000005,0
TXN202500004,U486,2025-02-07,04:38:42,Electronics Store 125,39LTEAR6671M1ZP,Electronics,CreditCard,27088.14,23410.81,City89,Maharashtra,False,True,18.0,80D,Business,Friday,4,43,48,350376.69,230896.18,3677.329999999998,1
TXN202500005,U179,2025-07-12,19:56:25,Electronics Store 321,47JJTIF8251Y1ZG,Electronics,CreditCard,96753.02,30554.85,City30,West Bengal,False,True,18.0,80D,CapitalGain,Saturday,19,14,19,189671.25,94978.23,66198.17000000001,1
TXN202500006,U597,2025-09-12,17:07:45,Rent Store 136,24UTDEB7440J1ZH,Rent,NetBanking,43412.4,9062.05,City18,Delhi,False,False,0.0,10A,Salary,Friday,17,13,28,218616.43,244468.19,34350.350000000006,1
TXN202500007,U213,2025-06-24,14:12:59,Banking Store 155,58VLXBB8247J1ZC,Banking,CreditCard,11788.58,2747.31,City42,West Bengal,False,True,18.0,80D,Business,Tuesday,14,28,42,487938.47,526616.42,9041.27,1
TXN202500008,U531,2025-09-02,17:14:11,Banking Store 206,32RXSKK7138L1ZX,Banking,UPI,178024.83,76098.86,City84,Telangana,True,True,18.0,10A,Salary,Tuesday,17,10,24,462964.84,753910.23,101925.96999999999,0
TXN202500009,U509,2025-04-23,14:51:10,Groceries Store 350,84ZYOGO2330J1ZO,Groceries,CreditCard,9265.88,3458.93,City75,Maharashtra,False,True,18.0,24B,Business,Wednesday,14,18,20,184925.53,390918.01,5806.949999999999,0
TXN202500010,U313,2025-04-07,03:47:18,Banking Store 249,56THLVO7334I1ZT,Banking,CreditCard,389935.65,84701.21,City41,West Bengal,True,True,18.0,80D,Salary,Monday,3,81,8,74066.28,643088.27,305234.44,1
TXN202500011,U478,2025-01-06,11:10:35,Electronics Store 324,91ZMZNH4504C1ZL,Electronics,Cash,96239.79,28224.29,City73,Delhi,False,True,18.0,10A,Business,Monday,11,83,49,493778.28,186297.92,68015.5,1
TXN202500012,U314,2025-09-14,01:54:21,Rent Store 234,29WQWQQ8120W1ZZ,Rent,CreditCard,221216.14,61623.44,City29,Delhi,True,False,0.0,10A,Business,Sunday,1,67,20,333623.32,351910.0,159592.7,1
TXN202500013,U587,2025-01-30,08:54:38,Food Store 274,94LJOHE8176C1ZI,Food,CreditCard,100434.27,23828.72,City77,Karnataka,False,True,18.0,80C,Business,Thursday,8,77,39,414617.73,791077.45,76605.55,1
TXN202500014,U582,2025-01-20,15:51:18,Insurance Store 28,61ZITNC7504V1ZS,Insurance,Cash,347778.21,82343.6,City53,Kerala,True,True,18.0,24B,Salary,Monday,15,94,7,350171.69,584019.31,265434.61,1
TXN202500015,U406,2025-05-22,10:58:36,Banking Store 262,82WZMJY3397S1ZS,Banking,NetBanking,30751.34,69628.3,City77,Telangana,True,True,18.0,80D,Salary,Thursday,10,48,41,483101.88,983846.17,-38876.96000000001,0
TXN202500016,U469,2025-04-08,11:26:42,Travel Store 22,56QXNRV6823L1ZI,Travel,UPI,85733.2,19706.33,City34,Rajasthan,True,True,18.0,10A,Salary,Tuesday,11,44,33,364430.6,998995.83,66026.87,1
